timestamp,open,high,low,close,volume
2022-05-12,389.3700,395.8000,385.1500,392.3400,125090753
2022-05-11,398.0700,404.0400,391.9600,392.7500,142360992
2022-05-10,404.4900,406.0800,394.8200,399.0900,132497200
2022-05-09,405.1000,406.4100,396.5000,398.1700,155586067
2022-05-06,411.1000,414.8000,405.7300,411.3400,151770811
2022-05-05,424.5500,425.0000,409.4400,413.8100,172929106
2022-05-04,417.0800,429.6600,413.7099,429.0600,141106960
2022-05-03,415.0100,418.9300,413.3600,416.3800,100028190
2022-05-02,412.0700,415.9200,405.0200,414.4800,158312526
2022-04-29,423.5900,425.8700,411.2100,412.0000,145491088
2022-04-28,422.2900,429.6400,417.6000,427.8100,105449088
2022-04-27,417.2400,422.9200,415.0100,417.2700,122029990
2022-04-26,425.8300,426.0400,416.0700,416.1000,100647304
2022-04-25,423.6700,428.6900,418.8400,428.5100,119647748
2022-04-22,436.9100,438.0825,425.4400,426.0400,132471772
2022-04-21,448.5400,450.0100,437.1000,438.0600,85417327
2022-04-20,446.9200,447.5700,443.4800,444.7100,64140001
2022-04-19,437.8600,445.8000,437.6800,445.0400,77821013
2022-04-18,436.8100,439.7500,435.6100,437.9700,66002498
2022-04-14,443.5500,444.7301,437.6800,437.7900,97869451
2022-04-13,438.0300,444.1100,437.8400,443.3100,74070394
2022-04-12,443.0800,445.7500,436.6501,438.2900,84363635
2022-04-11,444.1100,445.0000,439.3900,439.9200,89770538
2022-04-08,447.9700,450.6300,445.9400,447.5700,79272711
2022-04-07,445.5900,450.6900,443.5300,448.7700,78097214
2022-04-06,446.8900,448.9300,443.4700,446.5200,106897970
2022-04-05,455.2200,457.8300,449.8200,451.0300,72741037
2022-04-04,453.1300,456.9100,452.2600,456.8000,59601000
2022-04-01,453.3100,453.4600,449.1400,452.9200,89048773
2022-03-31,457.8900,458.7600,451.1600,451.6400,121699948
2022-03-30,460.3400,461.1950,456.4650,458.7000,79666942
2022-03-29,460.0200,462.0700,457.1800,461.5500,86581542
2022-03-28,452.0600,455.9100,450.0600,455.9100,68529767
2022-03-25,451.1600,452.9800,448.4300,452.6900,76123606
2022-03-24,445.9400,450.5000,444.7600,450.4900,64736892
2022-03-23,446.9100,448.4900,443.7100,443.8000,79426098
